City_ID,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
185,185,Bani,18.2833,-70.3333,77.86,80,97,10.33,DO,overcast clouds
190,190,Cururupu,-1.8283,-44.8683,76.39,95,99,5.73,BR,overcast clouds
191,191,Tizimin,21.15,-88.15,75.85,91,24,7.18,MX,few clouds
193,193,Linguere,15.3953,-15.1193,81.0,66,28,10.07,SN,scattered clouds
196,196,Kribi,2.95,9.9167,76.01,86,100,5.99,CM,light rain
198,198,Cockburn Town,21.4612,-71.1419,82.87,78,100,20.87,TC,overcast clouds
206,206,Luganville,-15.5333,167.1667,76.95,80,71,14.43,VU,broken clouds
209,209,Lebanon,36.2081,-86.2911,82.27,82,75,3.44,US,broken clouds
210,210,Sabha,27.0377,14.4283,85.55,21,0,10.09,LY,clear sky
211,211,Awjilah,29.1081,21.2869,83.16,48,0,13.87,LY,clear sky
214,214,Turkmenabat,39.0733,63.5786,76.98,36,0,6.91,TM,clear sky
215,215,Tautira,-17.7333,-149.15,82.42,78,22,14.92,PF,light rain
219,219,Half Moon Bay,37.4636,-122.4286,78.75,77,75,13.8,US,broken clouds
224,224,Port Hardy,50.6996,-127.4199,77.18,57,20,3.44,CA,few clouds
228,228,Marsa Matruh,31.3525,27.2453,79.0,73,0,5.75,EG,clear sky
230,230,Katsuura,35.1333,140.3,77.02,85,100,14.43,JP,light rain
234,234,Naze,28.3667,129.4833,83.32,82,97,19.13,JP,overcast clouds
235,235,Dongsheng,39.8161,109.9776,77.54,29,0,5.21,CN,clear sky
236,236,Shwebo,22.5667,95.7,82.4,77,100,12.33,MM,overcast clouds
238,238,Bud,39.447,-86.1758,75.22,91,88,6.85,US,overcast clouds
239,239,Shenjiamen,29.9576,122.298,78.58,90,99,6.55,CN,moderate rain
244,244,Iowa City,41.6611,-91.5302,75.51,83,40,5.75,US,scattered clouds
246,246,Lorengau,-2.0226,147.2712,82.04,78,100,7.38,PG,overcast clouds
251,251,Balingasay,16.3573,119.8564,82.26,75,100,7.63,PH,overcast clouds
254,254,Jinchang,38.4953,102.1739,78.98,30,0,3.96,CN,clear sky
255,255,Lompoc,34.6391,-120.4579,76.78,89,75,10.36,US,mist
256,256,Gazli,40.1333,63.45,83.17,28,0,12.93,UZ,clear sky
264,264,Along,28.1667,94.7667,75.52,100,100,1.43,IN,overcast clouds
270,270,Pizarro,4.9533,-77.366,76.48,89,100,6.2,CO,light rain
272,272,Batticaloa,7.7102,81.6924,82.02,74,100,5.46,LK,very heavy rain
273,273,Sinnamary,5.3833,-52.95,78.73,87,100,8.95,GF,overcast clouds
276,276,Tanete,-3.9443,119.7848,87.48,57,100,14.14,ID,overcast clouds
278,278,Ukiah,39.1502,-123.2078,75.85,52,44,4.59,US,scattered clouds
285,285,Akyab,20.15,92.9,82.24,83,100,5.23,MM,overcast clouds
287,287,Goderich,43.7501,-81.7165,75.52,78,9,6.91,CA,clear sky
293,293,Hobyo,5.3505,48.5268,76.05,87,55,18.77,SO,broken clouds
303,303,Huanren,41.2647,125.3667,77.7,58,50,3.65,CN,scattered clouds
305,305,Pacific Grove,36.6177,-121.9166,78.03,83,1,1.01,US,clear sky
307,307,Zyryanka,65.75,150.85,76.77,40,51,5.7,RU,broken clouds
308,308,Kavaratti,10.5669,72.642,81.75,78,100,17.96,IN,overcast clouds
311,311,Narasannapeta,18.4167,84.05,86.5,68,98,4.5,IN,overcast clouds
314,314,Nieuw Amsterdam,5.8833,-55.0833,76.01,93,92,5.91,SR,overcast clouds
316,316,Marawi,7.9986,124.2928,75.65,72,76,2.77,PH,broken clouds
318,318,Westport,41.1415,-73.3579,84.34,81,1,3.0,US,clear sky
326,326,Sibu,2.3,111.8167,75.51,94,40,8.05,MY,moderate rain
328,328,Aurangabad,19.8833,75.3333,75.29,83,40,3.44,IN,haze
335,335,Port Hope,43.9408,-82.7127,77.97,69,48,0.0,US,scattered clouds
336,336,Lingao,19.9103,109.6859,89.2,61,100,5.61,CN,overcast clouds
337,337,Bengkulu,-3.8004,102.2655,82.26,65,100,2.59,ID,overcast clouds
343,343,Bathsheba,13.2167,-59.5167,79.41,89,40,8.05,BB,scattered clouds
346,346,Russell,32.3502,-85.1999,78.4,83,1,0.0,US,clear sky
350,350,Ternate,0.8,127.4,83.7,71,23,4.99,ID,few clouds
351,351,Mahibadhoo,3.7833,72.9667,82.81,72,100,15.95,MV,overcast clouds
352,352,Morant Bay,17.8815,-76.4093,82.02,86,56,6.76,JM,light rain
356,356,San Jose,37.3394,-121.895,81.68,57,75,1.99,US,broken clouds
362,362,Cozumel,20.5083,-86.9458,82.0,91,4,8.01,MX,clear sky
363,363,Porto Torres,40.835,8.3972,75.38,58,61,3.89,IT,broken clouds
364,364,Lagunillas,10.1301,-71.2595,78.39,87,44,8.37,VE,scattered clouds
