,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,Waddan,LY,81.79,clear sky,29.1614,16.139,محل الشريف محمد العايب
146,Samana,DO,79.41,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
148,Bac Lieu,VN,84.16,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
150,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
155,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
156,Jamestown,US,76.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
157,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
161,Isangel,VU,77.11,haze,-19.55,169.2667,Tanna Lodge
163,Faanui,PF,79.11,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
167,Bonthe,SL,76.51,moderate rain,7.5264,-12.505,Bonthe Holiday Village
169,Zhangjiakou,CN,77.99,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
170,Hun,LY,81.54,clear sky,29.1268,15.9477,Alrwasi Hotel
171,Tura,IN,75.9,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
174,Cabo San Lucas,MX,84.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
175,Waingapu,ID,87.31,clear sky,-9.6567,120.2641,Pondok Wisata Elim
176,Basco,PH,81.46,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
177,Muzaffarabad,PK,81.01,broken clouds,34.37,73.4711,Pearl Continental Muzaffarabad
179,Sao Filipe,CV,75.49,few clouds,14.8961,-24.4956,Hotel Xaguate
180,Baraboo,US,76.89,clear sky,43.4711,-89.7443,Thunderbird Motor Inn
181,Isla Mujeres,MX,82.9,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
182,Boa Vista,BR,78.78,light intensity shower rain,2.8197,-60.6733,Aipana Plaza Hotel
183,Olean,US,75.78,clear sky,42.0776,-78.4297,Best Western Plus University Inn
185,Bani,DO,77.86,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
190,Cururupu,BR,76.39,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
191,Tizimin,MX,75.85,few clouds,21.15,-88.15,silva hogar
193,Linguere,SN,81.0,scattered clouds,15.3953,-15.1193,AYO Casablanca
196,Kribi,CM,76.01,light rain,2.95,9.9167,Les Vagues bleues
198,Cockburn Town,TC,82.87,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
