City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
52,Yellowknife,CA,2021-08-12 04:37:48,62.456,-114.3525,54.12,58,75,4.61
53,Punta Arenas,CL,2021-08-12 04:41:03,-53.15,-70.9167,46.51,81,75,5.75
54,Jamestown,US,2021-08-12 04:38:26,42.097,-79.2353,72.99,87,1,7.0
55,Krasnyy Yar,RU,2021-08-12 04:41:03,46.5331,48.3456,82.33,19,86,15.93
56,Geraldton,AU,2021-08-12 04:41:04,-28.7667,114.6,63.01,59,0,16.11
57,Tuktoyaktuk,CA,2021-08-12 04:41:05,69.4541,-133.0374,60.8,67,75,8.05
58,Evensk,RU,2021-08-12 04:41:05,61.95,159.2333,54.52,83,100,5.99
59,Poum,NC,2021-08-12 04:41:06,-20.2333,164.0167,72.59,60,42,21.74
60,Nushki,PK,2021-08-12 04:41:06,29.5542,66.0215,94.89,6,4,3.89
61,Tasiilaq,GL,2021-08-12 04:41:07,65.6145,-37.6368,46.56,81,23,5.28
62,Ilam,NP,2021-08-12 04:41:07,26.9167,87.9167,71.58,95,100,0.63
63,North Platte,US,2021-08-12 04:41:08,41.1239,-100.7654,73.02,73,1,1.99
64,Vaini,TO,2021-08-12 04:41:08,-21.2,-175.2,66.36,94,90,5.75
65,Husavik,IS,2021-08-12 04:41:09,66.0449,-17.3389,40.91,76,18,10.02
66,Kernersville,US,2021-08-12 04:41:10,36.1199,-80.0736,74.39,94,75,0.0
67,Thinadhoo,MV,2021-08-12 04:41:10,0.5333,72.9333,82.67,73,89,12.03
68,Bredasdorp,ZA,2021-08-12 04:41:11,-34.5322,20.0403,47.52,87,100,6.91
69,Kailua,US,2021-08-12 04:38:36,21.4022,-157.7394,84.18,71,40,9.22
70,Puerto Ayora,EC,2021-08-12 04:41:12,-0.7393,-90.3518,69.55,88,95,5.01
71,Hilo,US,2021-08-12 04:36:42,19.7297,-155.09,75.79,93,86,1.01
72,Naze,JP,2021-08-12 04:41:12,28.3667,129.4833,85.12,84,61,19.82
73,Tiksi,RU,2021-08-12 04:41:13,71.6872,128.8694,61.27,61,100,12.03
74,Atuona,PF,2021-08-12 04:41:13,-9.8,-139.0333,77.43,73,14,17.94
75,Bluff,NZ,2021-08-12 04:41:14,-46.6,168.3333,59.81,68,100,19.82
76,Bazarnyy Karabulak,RU,2021-08-12 04:41:14,52.2683,46.4144,80.42,32,8,15.43
77,Bundaberg,AU,2021-08-12 04:41:15,-24.85,152.35,75.49,46,73,12.66
78,Airai,TL,2021-08-12 04:41:15,-8.9266,125.4092,77.11,43,33,6.6
79,Ushuaia,AR,2021-08-12 04:38:54,-54.8,-68.3,44.26,70,40,12.66
80,Khani,GE,2021-08-12 04:41:16,41.9563,42.9566,62.17,64,52,2.44
81,Aktas,KZ,2021-08-12 04:41:17,49.7789,72.9608,65.95,63,100,5.57
82,Akyab,MM,2021-08-12 04:41:17,20.15,92.9,83.55,80,99,9.31
83,Aklavik,CA,2021-08-12 04:41:18,68.2191,-135.0107,65.12,62,89,1.68
84,Ust-Nera,RU,2021-08-12 04:41:19,64.5667,143.2,76.84,38,100,5.39
85,Williston,US,2021-08-12 04:27:30,48.147,-103.618,71.04,36,37,5.99
86,New Norfolk,AU,2021-08-12 04:41:19,-42.7826,147.0587,55.92,61,54,4.0
87,Upernavik,GL,2021-08-12 04:41:20,72.7868,-56.1549,41.49,93,100,19.6
88,Dunedin,NZ,2021-08-12 04:38:41,-45.8742,170.5036,57.79,45,92,15.01
89,Gwadar,PK,2021-08-12 04:41:20,25.1216,62.3254,81.48,75,99,8.7
90,Mabaruma,GY,2021-08-12 04:41:21,8.2,-59.7833,73.04,98,19,1.77
91,Mango,US,2021-08-12 04:41:22,27.9797,-82.3065,80.51,92,1,0.0
92,Laguna,US,2021-08-12 04:41:22,38.421,-121.4238,91.22,42,1,1.99
93,Joshimath,IN,2021-08-12 04:41:23,30.5667,79.5667,81.18,64,29,6.69
94,Olafsvik,IS,2021-08-12 04:41:23,64.8945,-23.7142,54.14,85,7,7.49
95,Wanning,CN,2021-08-12 04:41:24,18.8003,110.3967,87.75,73,99,11.63
96,Zaltan,LY,2021-08-12 04:41:24,32.947,11.8665,86.85,30,4,7.29
97,Kapaa,US,2021-08-12 04:41:25,22.0752,-159.319,82.72,74,20,1.01
98,Kodiak,US,2021-08-12 04:41:26,57.79,-152.4072,56.71,82,90,4.61
99,Avarua,CK,2021-08-12 04:37:28,-21.2078,-159.775,71.65,94,75,4.61
100,Campeche,MX,2021-08-12 04:41:26,19.0,-90.5,72.77,99,93,2.19
101,Bathsheba,BB,2021-08-12 04:41:27,13.2167,-59.5167,81.21,78,40,14.97
102,Barrow,US,2021-08-12 04:41:28,71.2906,-156.7887,37.42,81,90,17.27
103,Yagodnoye,RU,2021-08-12 04:41:28,62.55,149.6667,81.88,27,59,0.6
104,Juneau,US,2021-08-12 04:41:29,58.3019,-134.4197,57.25,96,90,14.0
105,Balvi,LV,2021-08-12 04:40:17,57.1313,27.2658,58.19,97,100,2.95
106,Sakakah,SA,2021-08-12 04:41:30,29.9697,40.2064,83.77,21,0,7.27
107,Komsomolskiy,UZ,2021-08-12 04:41:30,40.4272,71.7189,86.72,23,0,9.22
108,Grootfontein,NA,2021-08-12 04:41:30,-19.5667,18.1167,47.77,49,0,3.44
109,Lorengau,PG,2021-08-12 04:41:31,-2.0226,147.2712,85.64,64,38,7.31
110,Dikson,RU,2021-08-12 04:41:31,73.5069,80.5464,42.3,89,16,10.65
111,Mar Del Plata,AR,2021-08-12 04:39:58,-38.0023,-57.5575,42.82,81,75,3.44
112,Pietarsaari,FI,2021-08-12 04:41:32,63.65,22.6833,61.9,89,12,8.9
113,Sines,PT,2021-08-12 04:41:33,37.9562,-8.8698,61.29,93,0,1.01
114,Lantawan,PH,2021-08-12 04:41:33,10.6167,123.9833,91.09,65,100,5.57
115,Bojnurd,IR,2021-08-12 04:41:34,37.4747,57.329,69.75,28,0,2.3
116,Rincon,US,2021-08-12 04:41:34,32.296,-81.2354,82.85,90,20,0.0
117,Zhuhai,CN,2021-08-12 04:41:35,22.2769,113.5678,91.71,84,20,10.36
118,Chokurdakh,RU,2021-08-12 04:41:35,70.6333,147.9167,68.04,62,86,3.51
119,Calnali,MX,2021-08-12 04:41:37,20.9167,-98.5833,59.99,92,24,3.96
120,Nador,MA,2021-08-12 04:41:38,35.174,-2.9287,77.07,94,90,0.0
121,Ahipara,NZ,2021-08-12 04:41:38,-35.1667,173.1667,55.54,71,17,6.87
122,Victoria,HK,2021-08-12 04:39:12,22.2855,114.1577,91.96,74,67,3.0
123,Avera,US,2021-08-12 04:38:24,33.194,-82.5271,77.72,88,80,5.01
124,Ponta Do Sol,PT,2021-08-12 04:41:39,32.6667,-17.1,74.03,77,15,3.69
125,La Libertad,EC,2021-08-12 04:41:40,-2.2333,-80.9,67.87,84,100,8.3
126,Rundu,NA,2021-08-12 04:41:40,-17.9333,19.7667,52.68,33,0,5.28
127,Nanortalik,GL,2021-08-12 04:41:41,60.1432,-45.2371,44.19,87,75,10.36
128,Faya,SA,2021-08-12 04:41:42,18.3851,42.4509,68.52,48,64,1.92
129,Pachino,IT,2021-08-12 04:41:42,36.7186,15.0907,84.24,67,3,12.82
130,Klaksvik,FO,2021-08-12 04:41:42,62.2266,-6.589,54.52,98,100,11.7
131,Fortuna,US,2021-08-12 04:41:43,40.5982,-124.1573,74.48,94,90,0.0
132,Hermanus,ZA,2021-08-12 04:41:43,-34.4187,19.2345,48.9,71,100,11.03
133,Arraial Do Cabo,BR,2021-08-12 04:41:44,-22.9661,-42.0278,69.13,88,56,13.27
134,Peniche,PT,2021-08-12 04:41:45,39.3558,-9.3811,66.72,87,9,14.14
135,College,US,2021-08-12 04:41:45,64.8569,-147.8028,67.95,57,75,4.61
136,Bubaque,GW,2021-08-12 04:41:46,11.2833,-15.8333,79.7,82,100,10.54
137,Atikokan,CA,2021-08-12 04:41:46,48.7555,-91.6216,65.32,49,79,9.57
138,Bairiki,KI,2021-08-12 04:41:47,1.3292,172.9752,87.8,62,20,8.05
139,Cabo San Lucas,MX,2021-08-12 04:41:47,22.8909,-109.9124,83.52,82,83,5.35
140,Aykhal,RU,2021-08-12 04:41:48,66.0,111.5,66.56,46,100,15.68
141,Kundiawa,PG,2021-08-12 04:41:48,-6.0167,144.9667,71.33,82,47,1.77
142,Leh,IN,2021-08-12 04:41:49,34.1667,77.5833,65.77,40,25,5.7
143,Jinchang,CN,2021-08-12 04:41:50,38.4953,102.1739,78.4,35,2,7.07
144,Mahebourg,MU,2021-08-12 04:41:50,-20.4081,57.7,74.25,83,75,11.5
145,Ribeira Grande,PT,2021-08-12 04:41:50,38.5167,-28.7,72.48,86,38,17.87
146,Chuy,UY,2021-08-12 04:41:51,-33.6971,-53.4616,41.41,87,5,3.31
147,Bo Rai,TH,2021-08-12 04:41:51,12.5728,102.5371,87.12,65,66,10.78
148,Carnarvon,AU,2021-08-12 04:41:52,-24.8667,113.6333,71.67,27,0,12.66
149,Stejari,RO,2021-08-12 04:41:53,44.7667,23.6833,67.35,40,9,1.88
150,Saskylakh,RU,2021-08-12 04:41:53,71.9167,114.0833,53.26,57,67,15.7
151,Kawalu,ID,2021-08-12 04:41:54,-7.3817,108.2082,82.92,57,32,6.76
152,Mazara Del Vallo,IT,2021-08-12 04:41:54,37.6641,12.588,82.99,51,0,8.81
153,Crestview,US,2021-08-12 04:41:55,30.7621,-86.5705,81.99,88,1,3.0
154,Iglesias,IT,2021-08-12 04:41:55,39.3114,8.535,77.76,39,9,3.33
155,Nome,US,2021-08-12 04:41:56,64.5011,-165.4064,50.07,62,90,4.61
156,Bilma,NE,2021-08-12 04:41:56,18.6853,12.9164,86.99,40,81,1.03
157,Hay River,CA,2021-08-12 04:41:57,60.8156,-115.7999,55.38,82,40,4.61
158,Salinopolis,BR,2021-08-12 04:41:57,-0.6136,-47.3561,78.55,87,86,9.78
159,Marsh Harbour,BS,2021-08-12 04:41:58,26.5412,-77.0636,83.57,72,8,13.71
160,Esperance,AU,2021-08-12 04:40:20,-33.8667,121.9,62.44,54,14,14.07
161,Mount Gambier,AU,2021-08-12 04:41:59,-37.8333,140.7667,58.91,67,75,16.11
162,Derzhavinsk,KZ,2021-08-12 04:41:59,51.1,66.3167,56.53,83,97,15.73
163,Magadan,RU,2021-08-12 04:42:00,59.5667,150.8,62.62,79,20,5.55
164,Zhezkazgan,KZ,2021-08-12 04:42:01,47.8043,67.7144,69.85,45,42,14.94
165,Dudinka,RU,2021-08-12 04:42:01,69.4058,86.1778,47.05,75,100,8.68
166,Baykit,RU,2021-08-12 04:42:02,61.67,96.37,73.63,48,100,3.27
167,La Ronge,CA,2021-08-12 04:42:02,55.1001,-105.2842,53.85,50,40,13.8
168,Lourdes,FR,2021-08-12 04:42:03,43.1,-0.05,63.88,100,75,4.61
169,Narsaq,GL,2021-08-12 04:42:03,60.9167,-46.05,46.62,73,90,3.87
170,Patitirion,GR,2021-08-12 04:42:04,39.15,23.8667,80.08,70,2,14.29
171,Saint Stephen,GB,2021-08-12 04:42:05,50.3333,-4.9,59.76,100,75,5.75
172,Baglan,AF,2021-08-12 04:42:05,36.1307,68.7083,93.74,12,0,2.08
173,Inirida,CO,2021-08-12 04:42:06,3.8653,-67.9239,72.75,99,100,3.67
174,Haverhill,US,2021-08-12 04:39:55,42.7762,-71.0773,81.01,86,1,5.01
175,Mata,PT,2021-08-12 04:42:06,40.683,-7.4592,66.76,70,0,2.84
176,Perth,AU,2021-08-12 04:40:13,-31.9333,115.8333,66.15,59,40,4.61
177,Roma,US,2021-08-12 04:42:07,43.2128,-75.4557,80.46,91,1,6.91
178,Beringovskiy,RU,2021-08-12 04:42:07,63.05,179.3167,44.31,86,94,7.27
179,Dakar,SN,2021-08-12 04:42:08,14.6937,-17.4441,77.88,77,25,14.41
180,Magdalena,PH,2021-08-12 04:42:09,14.1999,121.429,86.43,60,100,1.7
181,Dingle,PH,2021-08-12 04:42:09,10.9995,122.6711,89.08,61,75,7.27
182,Amapa,BR,2021-08-12 04:42:10,1.0,-52.0,70.66,99,49,1.43
183,Makakilo City,US,2021-08-12 04:40:47,21.3469,-158.0858,82.72,60,75,6.91
184,Grudziadz,PL,2021-08-12 04:41:05,53.4841,18.7537,59.83,89,19,5.88
185,Kavaratti,IN,2021-08-12 04:42:11,10.5669,72.642,82.04,78,100,15.64
186,Lazaro Cardenas,MX,2021-08-12 04:42:11,17.9583,-102.2,78.76,82,29,2.35
187,Namatanai,PG,2021-08-12 04:42:06,-3.6667,152.4333,82.76,74,93,3.65
188,Star,US,2021-08-12 04:42:12,43.6921,-116.4935,88.12,42,1,5.75
189,Nouadhibou,MR,2021-08-12 04:42:12,20.931,-17.0347,69.78,83,0,19.57
190,Konitsa,GR,2021-08-12 04:42:13,40.0486,20.7567,76.05,55,3,5.75
191,Dalvik,IS,2021-08-12 04:42:13,65.9702,-18.5286,40.93,83,19,1.54
192,Vestmannaeyjar,IS,2021-08-12 04:42:14,63.4427,-20.2734,54.37,82,96,8.68
193,Shugurovo,RU,2021-08-12 04:42:14,54.5083,52.1326,72.05,35,0,11.74
194,Karpogory,RU,2021-08-12 04:42:15,64.0019,44.4451,63.63,96,100,0.94
195,Bambous Virieux,MU,2021-08-12 04:42:16,-20.3428,57.7575,74.21,83,75,11.5
196,Karawang,ID,2021-08-12 04:42:16,-6.3042,107.3079,89.69,42,8,4.9
197,Kudahuvadhoo,MV,2021-08-12 04:42:17,2.6708,72.8944,83.35,72,99,14.99
198,Torata,PE,2021-08-12 04:42:17,-17.0769,-70.8433,53.37,40,2,1.25
199,Damietta,EG,2021-08-12 04:42:18,31.4165,31.8133,82.29,59,0,4.52
200,San Carlos De Bariloche,AR,2021-08-12 04:42:18,-41.1456,-71.3082,29.95,69,0,6.91
201,Sisimiut,GL,2021-08-12 04:42:19,66.9395,-53.6735,43.61,80,49,5.26
202,Vila Franca Do Campo,PT,2021-08-12 04:42:19,37.7167,-25.4333,72.01,88,18,6.6
203,Klyuchi,RU,2021-08-12 04:42:20,52.2667,79.1667,71.46,52,19,10.31
204,Ramotswa,BW,2021-08-12 04:42:20,-24.8716,25.8699,46.02,61,0,0.54
205,San Patricio,US,2021-08-12 04:42:21,28.017,-97.5169,85.89,74,0,13.02
206,Clyde River,CA,2021-08-12 04:41:12,70.4692,-68.5914,46.63,87,90,8.05
207,Fairbanks,US,2021-08-12 04:40:10,64.8378,-147.7164,67.96,58,75,10.36
208,Ankang,CN,2021-08-12 04:39:09,32.68,109.0172,78.17,86,98,3.56
209,French Harbor,HN,2021-08-12 04:42:22,16.35,-86.4333,82.0,83,86,19.08
210,Porto Santo,PT,2021-08-12 04:42:22,33.072,-16.3415,73.31,73,40,6.91
211,Ambanja,MG,2021-08-12 04:42:23,-13.6833,48.45,73.0,77,5,2.82
212,Hede,CN,2021-08-12 04:42:24,33.7681,120.2517,78.73,85,100,6.98
213,Lloret De Mar,ES,2021-08-12 04:42:24,41.6999,2.8457,77.67,66,93,1.99
214,Shingu,JP,2021-08-12 04:39:14,33.7333,135.9833,77.99,97,100,6.2
215,Cidreira,BR,2021-08-12 04:42:25,-30.1811,-50.2056,46.49,75,1,5.55
216,Iqaluit,CA,2021-08-12 04:42:26,63.7506,-68.5145,40.73,93,90,17.27
217,Qaanaaq,GL,2021-08-12 04:42:26,77.484,-69.3632,40.06,91,100,4.68
218,Umm Lajj,SA,2021-08-12 04:42:27,25.0213,37.2685,89.53,44,0,9.84
219,Karratha,AU,2021-08-12 04:42:27,-20.7377,116.8463,78.66,18,0,17.29
220,Sitka,US,2021-08-12 04:42:28,57.0531,-135.33,60.69,82,90,6.91
221,Leningradskiy,RU,2021-08-12 04:42:29,69.3833,178.4167,38.68,82,98,4.03
222,Talnakh,RU,2021-08-12 04:42:29,69.4865,88.3972,43.41,90,100,9.42
223,Kungurtug,RU,2021-08-12 04:42:30,50.5994,97.5228,60.17,83,100,3.33
224,Souillac,MU,2021-08-12 04:42:30,-20.5167,57.5167,74.35,83,75,11.5
225,Baruun-Urt,MN,2021-08-12 04:42:31,46.6806,113.2792,72.99,47,73,7.54
226,Krasnoselkup,RU,2021-08-12 04:42:31,65.7,82.4667,56.71,54,45,16.37
227,Myanaung,MM,2021-08-12 04:42:32,18.2833,95.3167,90.43,60,100,9.93
228,Pevek,RU,2021-08-12 04:42:33,69.7008,170.3133,41.31,68,85,4.07
229,Longyearbyen,SJ,2021-08-12 04:40:43,78.2186,15.6401,46.24,93,75,10.36
230,Tuatapere,NZ,2021-08-12 04:42:35,-46.1333,167.6833,59.83,94,100,16.22
231,Hirara,JP,2021-08-12 04:42:36,24.8,125.2833,80.46,100,75,13.8
232,Tres Arroyos,AR,2021-08-12 04:42:37,-38.3739,-60.2798,33.49,89,2,4.5
233,Mount Isa,AU,2021-08-12 04:42:37,-20.7333,139.5,85.77,16,0,16.11
234,Byron Bay,AU,2021-08-12 04:42:38,-28.65,153.6167,77.11,61,37,11.68
235,San Juan,AR,2021-08-12 04:42:38,-31.5375,-68.5364,50.0,35,3,5.5
236,Razdolnoye,RU,2021-08-12 04:42:39,43.55,131.9167,68.41,97,100,1.41
237,Barcelona,ES,2021-08-12 04:38:06,41.3888,2.159,85.82,68,0,9.22
238,Yanagawa,JP,2021-08-12 04:42:40,33.1667,130.4,77.41,100,75,9.22
239,Svetlopolyansk,RU,2021-08-12 04:42:40,59.4184,52.3605,64.74,56,56,7.65
240,Harduaganj,IN,2021-08-12 04:42:41,27.95,78.1667,93.43,47,99,12.33
241,Butaritari,KI,2021-08-12 04:42:41,3.0707,172.7902,83.3,66,0,9.1
242,Kholodnyy,RU,2021-08-12 04:42:42,62.7167,147.95,81.28,21,15,8.46
243,Omboue,GA,2021-08-12 04:42:42,-1.5746,9.2618,74.5,81,100,4.25
244,Ambilobe,MG,2021-08-12 04:42:43,-13.2,49.05,76.42,53,52,3.29
245,Santo Angelo,BR,2021-08-12 04:42:44,-28.2992,-54.2631,41.32,87,0,9.22
246,Kargasok,RU,2021-08-12 04:42:44,59.0556,80.8572,53.38,74,100,12.39
247,Saint-Georges,GD,2021-08-12 04:42:45,12.0564,-61.7485,80.28,89,20,8.05
248,Mao,ES,2021-08-12 04:42:45,39.8885,4.2658,77.56,88,0,5.75
249,Saint-Joseph,RE,2021-08-12 04:42:46,-21.3667,55.6167,75.56,75,22,9.53
250,Tomaszow Lubelski,PL,2021-08-12 04:42:47,50.4477,23.4162,58.6,80,6,5.61
251,Houma,US,2021-08-12 04:39:55,29.5958,-90.7195,79.0,95,28,4.54
252,Necochea,AR,2021-08-12 04:42:47,-38.5473,-58.7368,42.04,82,5,2.73
253,Los Llanos De Aridane,ES,2021-08-12 04:42:48,28.6585,-17.9182,67.75,79,0,12.66
254,Paysandu,UY,2021-08-12 04:42:48,-32.3214,-58.0756,43.61,82,1,1.7
255,Vanimo,PG,2021-08-12 04:42:49,-2.6741,141.3028,85.14,69,57,9.71
256,Mus,TR,2021-08-12 04:42:49,39.0,41.75,66.24,39,38,4.05
257,Vostok,RU,2021-08-12 04:42:50,46.4856,135.8833,72.05,38,21,6.08
258,Pyu,MM,2021-08-12 04:42:50,18.4833,96.4333,87.69,68,100,7.74
259,Kloulklubed,PW,2021-08-12 04:42:50,7.0419,134.2556,82.9,73,100,10.27
260,Waipawa,NZ,2021-08-12 04:42:51,-41.4122,175.5153,53.02,75,98,21.94
261,Mulchen,CL,2021-08-12 04:42:52,-37.7167,-72.2333,38.88,68,0,3.53
262,Kropotkin,RU,2021-08-12 04:42:52,45.4375,40.5756,71.96,89,100,4.18
263,Siguiri,GN,2021-08-12 04:42:52,11.6667,-9.5,72.01,95,100,1.79
264,Turukhansk,RU,2021-08-12 04:42:53,65.8167,87.9833,55.62,56,64,16.17
265,Olinda,BR,2021-08-12 04:42:53,-8.0089,-34.8553,73.13,94,75,6.91
266,Camacha,PT,2021-08-12 04:42:54,33.0833,-16.3333,70.56,78,40,6.91
267,Puro,PH,2021-08-12 04:42:55,12.4841,123.3827,86.22,67,100,3.22
268,Georgetown,MY,2021-08-12 04:38:59,5.4112,100.3354,89.55,70,20,1.01
269,Ust-Kuyga,RU,2021-08-12 04:42:55,70.0167,135.6,71.78,46,84,3.87
270,Srednekolymsk,RU,2021-08-12 04:42:56,67.45,153.6833,76.06,23,92,1.23
271,Alice Springs,AU,2021-08-12 04:42:45,-23.7,133.8833,63.95,32,0,17.27
272,Carolina,PR,2021-08-12 04:42:57,18.3808,-65.9574,81.95,92,40,6.91
273,Yerbogachen,RU,2021-08-12 04:42:57,61.2767,108.0108,79.02,33,7,7.2
274,Vodnyy,RU,2021-08-12 04:42:58,63.5046,53.4095,64.11,61,100,9.69
275,Kota Bahru,MY,2021-08-12 04:42:58,6.1333,102.2386,87.75,70,20,1.14
276,Aksarka,RU,2021-08-12 04:42:58,66.5606,67.7975,67.26,52,100,10.6
277,Lodwar,KE,2021-08-12 04:42:59,3.1191,35.5973,78.62,56,39,10.04
278,Iquique,CL,2021-08-12 04:42:26,-20.2208,-70.1431,59.04,73,26,3.83
279,Williams Lake,CA,2021-08-12 04:43:00,52.1415,-122.1445,72.97,33,20,5.75
280,Samarai,PG,2021-08-12 04:43:00,-10.6167,150.6667,79.25,82,57,15.43
281,Burnie,AU,2021-08-12 04:43:01,-41.0667,145.9167,51.62,74,48,12.68
282,Kemijarvi,FI,2021-08-12 04:43:01,66.7131,27.4306,57.94,86,21,6.11
283,Markala,ML,2021-08-12 04:43:02,13.7021,-6.0659,74.98,80,100,3.58
284,Arlit,NE,2021-08-12 04:43:03,18.7369,7.3853,88.03,45,64,12.1
