,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
45,Bulgan,48.8125,103.5347,64.15,78,84,5.46,MN,broken clouds
46,Punta Arenas,-53.15,-70.9167,46.09,80,96,23.26,CL,overcast clouds
47,Itamarandiba,-17.8572,-42.8589,55.92,68,5,2.86,BR,clear sky
48,Kapaa,22.0752,-159.319,85.98,65,40,4.0,US,scattered clouds
49,Nyurba,63.2842,118.3319,75.67,45,89,5.93,RU,overcast clouds
50,Fereydunshahr,32.941,50.121,65.35,24,86,2.08,IR,overcast clouds
51,Georgetown,5.4112,100.3354,83.89,77,20,1.99,MY,few clouds
52,Albany,42.6001,-73.9662,74.05,94,88,4.09,US,overcast clouds
53,Butaritari,3.0707,172.7902,81.97,76,36,7.67,KI,light rain
54,Tateyama,34.9833,139.8667,76.93,88,75,10.36,JP,light rain
55,Geraldton,-28.7667,114.6,61.21,55,0,19.57,AU,clear sky
56,Acajutla,13.5928,-89.8275,81.81,83,57,3.6,SV,broken clouds
57,Avarua,-21.2078,-159.775,64.45,94,75,14.97,CK,heavy intensity rain
58,Mataura,-46.1927,168.8643,52.48,62,8,4.45,NZ,clear sky
59,Suntar,62.1444,117.6319,78.31,52,60,3.83,RU,broken clouds
60,Yarmouth,41.7057,-70.2286,79.45,82,1,7.0,US,clear sky
61,Kwinana,-32.25,115.7667,65.17,55,0,7.81,AU,clear sky
62,Kavieng,-2.5744,150.7967,81.64,78,100,10.29,PG,light rain
63,Abu Samrah,35.3029,37.1841,75.87,62,0,6.44,SY,clear sky
64,Saskylakh,71.9167,114.0833,46.6,74,100,10.29,RU,overcast clouds
65,Angoram,-4.0625,144.0661,92.43,51,73,2.53,PG,broken clouds
66,Qandala,11.472,49.8728,88.61,49,98,4.23,SO,overcast clouds
67,Bethel,41.3712,-73.414,80.96,79,1,0.0,US,clear sky
68,Hermanus,-34.4187,19.2345,51.91,76,11,9.08,ZA,few clouds
69,Pryozerne,45.2698,36.3303,70.05,91,100,17.25,UA,light rain
70,Kharan,28.5833,65.4167,87.66,25,18,4.54,PK,few clouds
71,Padang,-0.9492,100.3543,82.45,67,41,1.74,ID,scattered clouds
72,Kahului,20.8947,-156.47,85.26,68,1,21.85,US,clear sky
73,Nur,52.6683,22.3221,56.14,86,8,3.78,PL,clear sky
74,Mana,5.6592,-53.7767,77.0,90,99,7.67,GF,overcast clouds
75,Tasiilaq,65.6145,-37.6368,46.56,70,100,4.74,GL,overcast clouds
76,San Quintin,30.4833,-115.95,73.76,75,0,6.13,MX,clear sky
77,Belaguntha,19.8833,84.65,87.71,66,100,1.92,IN,overcast clouds
78,Chuy,-33.6971,-53.4616,43.48,87,0,4.94,UY,clear sky
79,Tuatapere,-46.1333,167.6833,52.83,65,29,3.38,NZ,scattered clouds
80,Airai,-8.9266,125.4092,74.07,49,51,6.15,TL,broken clouds
81,Chapais,49.7834,-74.8492,64.18,61,51,11.41,CA,broken clouds
82,Gardez,33.5974,69.2259,70.61,39,0,1.7,AF,clear sky
83,Thompson,55.7435,-97.8558,51.96,66,90,9.22,CA,overcast clouds
84,Chokurdakh,70.6333,147.9167,61.86,62,91,12.24,RU,overcast clouds
85,Jabinyanah,35.035,10.9081,80.4,61,1,5.7,TN,clear sky
86,Ilulissat,69.2167,-51.1,48.22,57,20,6.91,GL,few clouds
87,Aklavik,68.2191,-135.0107,52.63,89,100,14.99,CA,overcast clouds
88,Mae Hong Son,19.3003,97.9685,82.54,78,75,3.44,TH,broken clouds
89,Kimbe,-5.5502,150.1429,79.05,89,87,3.65,PG,moderate rain
90,Arraial Do Cabo,-22.9661,-42.0278,68.85,84,100,17.74,BR,overcast clouds
91,Sasykoli,47.5515,46.9968,82.0,43,64,15.32,RU,broken clouds
92,Khatanga,71.9667,102.5,51.89,68,100,9.95,RU,overcast clouds
93,Carnarvon,-24.8667,113.6333,66.27,25,0,8.05,AU,clear sky
94,Pinyug,60.251,47.7842,63.09,62,94,8.12,RU,overcast clouds
95,Hutchinson,38.0608,-97.9298,89.58,43,40,6.91,US,thunderstorm
96,Puerto Ayora,-0.7393,-90.3518,69.55,85,12,4.0,EC,few clouds
97,Nantucket,41.2835,-70.0995,79.09,93,1,13.8,US,clear sky
98,Port Elizabeth,-33.918,25.5701,44.89,93,20,5.75,ZA,few clouds
99,Kalianget,-7.05,113.9333,84.78,64,26,9.78,ID,scattered clouds
100,Marzuq,14.4,46.4667,77.88,44,9,5.21,YE,clear sky
101,Cumberland,35.0502,-78.8664,86.5,74,1,8.05,US,clear sky
102,Tuktoyaktuk,69.4541,-133.0374,46.4,93,90,11.5,CA,light intensity shower rain
103,Le Port,-20.9373,55.2919,69.8,78,7,8.14,RE,clear sky
104,Gashua,12.871,11.0482,71.31,91,99,6.8,NG,overcast clouds
105,Victoria,22.2855,114.1577,87.76,89,94,3.0,HK,heavy intensity rain
106,Manokwari,-0.8667,134.0833,83.86,67,13,7.78,ID,few clouds
107,Pevek,69.7008,170.3133,39.92,100,100,9.62,RU,moderate rain
108,Vaini,-21.2,-175.2,73.56,78,40,12.66,TO,scattered clouds
109,Sao Joao Da Barra,-21.6403,-41.0511,69.35,87,59,9.64,BR,broken clouds
110,Lantana,26.5867,-80.052,84.25,79,1,1.01,US,clear sky
111,Mahebourg,-20.4081,57.7,71.89,83,40,12.66,MU,scattered clouds
112,Severo-Kurilsk,50.6789,156.125,57.56,68,2,6.53,RU,clear sky
113,Zeya,53.75,127.2667,76.19,54,13,3.98,RU,few clouds
114,Dalby,-27.1833,151.2667,70.5,47,3,6.15,AU,clear sky
115,Walvis Bay,-22.9575,14.5053,45.55,87,3,6.91,NA,clear sky
116,Bambous Virieux,-20.3428,57.7575,71.85,83,40,12.66,MU,scattered clouds
117,Constitucion,-35.3333,-72.4167,46.54,88,0,2.26,CL,clear sky
118,Iqaluit,63.7506,-68.5145,42.53,93,90,4.61,CA,light intensity drizzle
119,Kodiak,57.79,-152.4072,56.71,72,75,4.61,US,broken clouds
120,Sabla,12.7525,4.7077,75.16,86,100,4.56,NG,moderate rain
